Timestamp,Full Name,Email Address,City/Location,Brands heard of,Brands used,Asian Paints Rating,Berger Paints Rating,Birla Paints Rating,Nippon Paints Rating,Important factors,Preferred brand,Reason for preference,Would recommend,Feedback/Suggestions
2025-02-15 13:36:55,Aachal Varma,qarinkata@example.net,Bengaluru,"Berger Paints, Birla Paints, Nippon Paints, Asian Paints","Berger Paints, Asian Paints, Birla Paints",3.0,4.0,4.0,2.0,"Brand Reputation, Eco-friendliness, Availability",Berger Paints,"Good customer service, Easy availability in Bengaluru, Good quality (4 rating)",Yes,
2025-03-14 11:51:26,Krisha Keer,regeekansh@example.net,Bengaluru,"Birla Paints, Berger Paints, Nippon Paints",Nippon Paints,,3.0,3.0,4.0,"Durability, Color Variety, Brand Reputation, Eco-friendliness",Nippon Paints,"Trusted brand reputation, Eco-friendly options, Wide color selection",Yes,Lower prices
2025-02-20 15:29:43,Gaurav Lall,behlneelima@example.com,Bengaluru,"Birla Paints, Berger Paints",Birla Paints,,2.0,3.0,,"Durability, Eco-friendliness, Brand Reputation",Birla Paints,Easy availability in Bengaluru,Maybe,
2025-04-04 13:41:55,Bina Swamy,annewishi@example.org,Bengaluru,"Nippon Paints, Berger Paints, Asian Paints, Birla Paints","Nippon Paints, Asian Paints, Berger Paints",3.0,2.0,3.0,4.0,"Price, Color Variety, Eco-friendliness, Durability",Berger Paints,"Good customer service, Trusted brand reputation, Wide color selection",No,More durable finishes for monsoon season (specifically for Birla Paints)
2025-02-20 02:48:12,Radha Venkatesh,vritti86@example.com,Bengaluru,"Nippon Paints, Birla Paints, Asian Paints, Berger Paints","Nippon Paints, Birla Paints, Berger Paints",3.0,3.0,2.0,3.0,"Eco-friendliness, Durability, Brand Reputation",Berger Paints,Value for money,Maybe,
2025-04-14 08:09:42,Sudiksha Chad,fradoswamy@example.com,Bengaluru,"Nippon Paints, Berger Paints","Berger Paints, Nippon Paints",,3.0,,3.0,"Durability, Price, Availability",Berger Paints,"Good customer service, Eco-friendly options",Maybe,Improve color options
2025-03-19 13:07:11,Simon Verma,parmaryashawini@example.org,Bengaluru,"Berger Paints, Asian Paints","Berger Paints, Asian Paints",3.0,4.0,,,"Eco-friendliness, Color Variety, Customer Support, Brand Reputation",Berger Paints,"Wide color selection, Easy availability in Bengaluru, Trusted brand reputation",Yes,
2025-02-06 23:16:20,Reva Lata,fariskhurana@example.com,Bengaluru,"Asian Paints, Berger Paints","Berger Paints, Asian Paints",5.0,4.0,,,"Availability, Eco-friendliness, Brand Reputation",Asian Paints,"Wide color selection, Easy availability in Bengaluru",Yes,
2025-02-03 08:59:50,Agastya Kadakia,bavaansh@example.com,Bengaluru,"Birla Paints, Nippon Paints","Birla Paints, Nippon Paints",,,4.0,3.0,"Price, Durability, Color Variety, Eco-friendliness",Birla Paints,"Long-lasting durability, Eco-friendly options",Yes,
2025-02-05 20:53:04,Jonathan Bhakta,loyalbhavya@example.com,Bengaluru,"Birla Paints, Nippon Paints, Berger Paints, Asian Paints","Berger Paints, Birla Paints",1.0,3.0,4.0,4.0,"Color Variety, Durability, Brand Reputation",Birla Paints,"Easy availability in Bengaluru, Long-lasting durability, Good quality (4 rating)",Yes,
2025-02-08 00:15:03,Garima Divan,george58@example.com,Bengaluru,"Berger Paints, Nippon Paints, Asian Paints","Asian Paints, Nippon Paints",3.0,3.0,,3.0,"Price, Availability, Brand Reputation, Customer Support, Durability",Asian Paints,"Good customer service, Eco-friendly options",Maybe,
2025-03-08 04:18:14,Aachal Bhattacharyya,narayanfinn@example.org,Bengaluru,"Nippon Paints, Berger Paints, Asian Paints, Birla Paints",Asian Paints,3.0,3.0,3.0,3.0,"Availability, Color Variety, Durability, Eco-friendliness, Brand Reputation",Asian Paints,"Trusted brand reputation, Long-lasting durability",Maybe,
2025-02-03 22:50:39,Nitesh Tiwari,sanya92@example.org,Bengaluru,"Asian Paints, Birla Paints, Other: Dulux",Asian Paints,3.0,,4.0,,"Eco-friendliness, Durability, Color Variety",Asian Paints,"Value for money, Good quality (3 rating), Wide color selection",Maybe,Faster drying time for humid Bengaluru climate (specifically for Asian Paints)
2025-02-03 14:25:41,Henry Viswanathan,zayan71@example.com,Bengaluru,"Berger Paints, Nippon Paints, Asian Paints, Birla Paints",Birla Paints,1.0,3.0,5.0,2.0,"Customer Support, Price, Availability",Birla Paints,"Trusted brand reputation, Long-lasting durability",Yes,Improve color options
2025-04-28 08:00:10,Aishani Sheth,anamika59@example.net,Bengaluru,"Asian Paints, Nippon Paints, Berger Paints","Asian Paints, Berger Paints, Nippon Paints",3.0,4.0,,3.0,"Color Variety, Price, Brand Reputation, Eco-friendliness, Customer Support",Berger Paints,"Good customer service, Easy availability in Bengaluru, Value for money",Yes,
2025-03-02 07:05:31,Yadavi Ben,bbedi@example.org,Bengaluru,"Birla Paints, Nippon Paints, Berger Paints","Berger Paints, Birla Paints, Nippon Paints",,2.0,4.0,3.0,"Brand Reputation, Color Variety, Price, Customer Support, Availability",Birla Paints,Long-lasting durability,Yes,More durable finishes for monsoon season
2025-02-14 20:09:45,Tara Bal,umital@example.net,Bengaluru,"Birla Paints, Asian Paints, Nippon Paints","Birla Paints, Nippon Paints",3.0,,3.0,5.0,"Customer Support, Eco-friendliness, Availability, Brand Reputation",Nippon Paints,"Good customer service, Eco-friendly options, Wide color selection",Yes,
2025-02-13 08:50:35,Ekbal Bahl,chamandas@example.org,Bengaluru,"Asian Paints, Nippon Paints, Other: Kansai Nerolac","Nippon Paints, Asian Paints",3.0,,,3.0,"Eco-friendliness, Color Variety, Durability, Customer Support",Asian Paints,"Trusted brand reputation, Good quality (3 rating)",Maybe,
2025-03-26 02:01:18,Ronith Toor,xkunda@example.org,Bengaluru,"Birla Paints, Nippon Paints, Berger Paints, Other: Jotun","Berger Paints, Birla Paints, Nippon Paints",,4.0,3.0,4.0,"Price, Brand Reputation, Durability, Availability, Eco-friendliness",Berger Paints,"Easy availability in Bengaluru, Eco-friendly options, Good customer service",Yes,
2025-03-13 14:50:50,Chatura Varma,hiraltalwar@example.com,Bengaluru,"Birla Paints, Berger Paints, Nippon Paints",Berger Paints,,5.0,1.0,3.0,"Eco-friendliness, Durability, Color Variety, Customer Support",Berger Paints,"Wide color selection, Long-lasting durability",Yes,Lower prices
2025-04-16 19:54:57,Nakul Saxena,ddeshmukh@example.org,Bengaluru,"Asian Paints, Birla Paints, Berger Paints","Berger Paints, Birla Paints",3.0,4.0,3.0,,"Durability, Price, Brand Reputation, Color Variety, Customer Support",Berger Paints,"Trusted brand reputation, Eco-friendly options",Yes,
2025-04-15 18:11:32,Vedhika Zacharia,hkanda@example.org,Bengaluru,"Berger Paints, Birla Paints, Other: Indigo Paints",None,,1.0,3.0,,"Price, Brand Reputation, Customer Support, Durability",,,,
2025-03-03 17:16:11,Sai Merchant,dgulati@example.org,Bengaluru,"Berger Paints, Nippon Paints, Birla Paints, Asian Paints","Nippon Paints, Asian Paints",4.0,3.0,3.0,3.0,"Brand Reputation, Durability, Customer Support, Availability, Price",Asian Paints,"Eco-friendly options, Easy availability in Bengaluru",Yes,
2025-04-29 01:50:08,Ubika Bath,treddy@example.net,Bengaluru,"Birla Paints, Nippon Paints","Birla Paints, Nippon Paints",,,4.0,4.0,"Durability, Color Variety, Eco-friendliness, Customer Support, Brand Reputation",Birla Paints,"Good customer service, Value for money, Trusted brand reputation",Yes,Better coverage per liter (specifically for Nippon Paints)
2025-04-05 15:21:06,Deepa Wadhwa,jnarasimhan@example.org,Bengaluru,"Nippon Paints, Berger Paints, Asian Paints, Birla Paints","Asian Paints, Nippon Paints, Berger Paints",3.0,5.0,3.0,3.0,"Availability, Durability, Price",Berger Paints,"Long-lasting durability, Good quality (5 rating)",Yes,
2025-03-29 11:08:08,Turvi Shetty,kritikawali@example.net,Bengaluru,"Birla Paints, Nippon Paints, Berger Paints","Berger Paints, Nippon Paints, Birla Paints",,4.0,3.0,4.0,"Eco-friendliness, Durability, Availability, Price, Color Variety",Berger Paints,"Value for money, Wide color selection, Eco-friendly options",Yes,Lower prices
2025-03-16 01:52:52,Eesha Zachariah,arastogi@example.com,Bengaluru,"Asian Paints, Berger Paints, Nippon Paints, Birla Paints",None,3.0,2.0,3.0,3.0,"Color Variety, Customer Support, Eco-friendliness",,,,
2025-03-04 11:12:02,Jackson Manda,jeremiah32@example.org,Bengaluru,"Nippon Paints, Birla Paints",Nippon Paints,,,3.0,5.0,"Customer Support, Durability, Availability, Brand Reputation, Eco-friendliness",Nippon Paints,Trusted brand reputation,Yes,
2025-03-26 15:35:19,Avni Kibe,parikhjhalak@example.com,Bengaluru,"Birla Paints, Nippon Paints, Asian Paints","Asian Paints, Birla Paints",3.0,,3.0,2.0,"Durability, Color Variety, Availability",Asian Paints,"Value for money, Good customer service",Maybe,
2025-02-21 21:52:16,Jai Deshmukh,tsubramaniam@example.org,Bengaluru,"Nippon Paints, Berger Paints, Other: Shalimar Paints","Berger Paints, Nippon Paints",,3.0,,3.0,"Durability, Color Variety, Price, Availability, Eco-friendliness",Berger Paints,"Good customer service, Value for money",Maybe,
2025-02-19 07:35:42,Ekani Nair,kashvigoyal@example.net,Bengaluru,"Berger Paints, Birla Paints",Berger Paints,,4.0,3.0,,"Eco-friendliness, Price, Color Variety, Durability, Customer Support",Berger Paints,"Long-lasting durability, Good quality (4 rating), Trusted brand reputation",Yes,
2025-02-13 20:25:51,Nathan Mangat,ekara@example.net,Bengaluru,"Berger Paints, Asian Paints, Birla Paints","Birla Paints, Asian Paints",4.0,3.0,5.0,,"Color Variety, Durability, Customer Support",Birla Paints,"Wide color selection, Good customer service",Yes,
2025-02-15 07:43:35,Saumya Bose,unnati43@example.net,Bengaluru,"Berger Paints, Birla Paints","Berger Paints, Birla Paints",,3.0,5.0,,"Color Variety, Availability, Price",Birla Paints,"Value for money, Trusted brand reputation, Good customer service",Yes,
2025-02-16 08:27:38,Darsh Rai,chasmum12@example.net,Bengaluru,"Asian Paints, Birla Paints, Nippon Paints","Birla Paints, Asian Paints, Nippon Paints",4.0,,3.0,3.0,"Customer Support, Durability, Color Variety, Eco-friendliness, Price",Asian Paints,Value for money,Yes,
2025-03-02 23:53:30,Avni Dalal,bathdhruv@example.com,Bengaluru,"Asian Paints, Nippon Paints","Nippon Paints, Asian Paints",4.0,,,3.0,"Eco-friendliness, Customer Support, Brand Reputation, Durability, Color Variety",Asian Paints,"Easy availability in Bengaluru, Long-lasting durability",Yes,Faster drying time for humid Bengaluru climate
2025-03-03 13:44:52,Dayita Mody,yagnesh17@example.net,Bengaluru,"Berger Paints, Nippon Paints, Asian Paints","Nippon Paints, Berger Paints, Asian Paints",4.0,4.0,,3.0,"Brand Reputation, Price, Durability, Eco-friendliness",Asian Paints,"Good quality (4 rating), Trusted brand reputation, Long-lasting durability",Yes,Better availability in Bengaluru suburbs
2025-03-10 06:55:40,Garima Buch,yoshita94@example.com,Bengaluru,"Asian Paints, Birla Paints",Birla Paints,2.0,,2.0,,"Customer Support, Availability, Price",Birla Paints,Long-lasting durability,No,
2025-02-17 13:59:28,Chandran Natt,radhakrishnangeorge@example.org,Bengaluru,"Asian Paints, Birla Paints","Asian Paints, Birla Paints",3.0,,4.0,,"Brand Reputation, Color Variety, Price",Birla Paints,"Wide color selection, Eco-friendly options",Yes,More durable finishes for monsoon season
2025-02-26 02:51:26,Chaitaly Ranganathan,settyxalak@example.org,Bengaluru,"Asian Paints, Berger Paints, Nippon Paints, Birla Paints","Nippon Paints, Berger Paints, Asian Paints",4.0,3.0,3.0,4.0,"Durability, Customer Support, Eco-friendliness",Asian Paints,"Trusted brand reputation, Good quality (4 rating)",Yes,
2025-03-31 21:30:09,Kashish Modi,gverma@example.org,Bengaluru,"Berger Paints, Asian Paints, Birla Paints","Birla Paints, Asian Paints, Berger Paints",3.0,4.0,4.0,,"Availability, Color Variety, Durability, Customer Support, Price",Berger Paints,Good customer service,Yes,
2025-03-31 14:02:18,Ayush Gade,xratta@example.com,Bengaluru,"Nippon Paints, Berger Paints",Berger Paints,,3.0,,3.0,"Color Variety, Eco-friendliness, Customer Support, Availability",Berger Paints,Wide color selection,Maybe,
2025-04-13 15:38:36,Jagdish Gaba,finn26@example.net,Bengaluru,"Nippon Paints, Asian Paints",Nippon Paints,3.0,,,4.0,"Availability, Customer Support, Color Variety, Price, Brand Reputation",Nippon Paints,"Easy availability in Bengaluru, Trusted brand reputation, Eco-friendly options",Yes,Improve customer support in Bengaluru
2025-04-26 03:08:18,Daksha Sandhu,qshanker@example.com,Bengaluru,"Asian Paints, Birla Paints, Nippon Paints, Other: Shalimar Paints",Birla Paints,3.0,,2.0,2.0,"Color Variety, Price, Customer Support, Brand Reputation, Durability",Birla Paints,"Value for money, Good quality (2 rating), Wide color selection",No,Improve customer support in Bengaluru
2025-04-28 06:52:34,Andrew Wason,doctorbarkha@example.com,Bengaluru,"Asian Paints, Nippon Paints, Birla Paints",Birla Paints,3.0,,4.0,3.0,"Price, Customer Support, Availability, Brand Reputation, Durability",Birla Paints,"Long-lasting durability, Trusted brand reputation",Yes,
2025-02-26 21:39:09,Caleb Sule,forumdalal@example.com,Bengaluru,"Asian Paints, Nippon Paints, Birla Paints, Other: Indigo Paints",None,5.0,,3.0,3.0,"Color Variety, Durability, Eco-friendliness",,,,
2025-02-08 10:59:51,Ayaan Chandra,wkant@example.com,Bengaluru,"Nippon Paints, Berger Paints, Asian Paints","Nippon Paints, Berger Paints",3.0,4.0,,3.0,"Eco-friendliness, Availability, Durability, Color Variety, Price",Berger Paints,"Good quality (4 rating), Trusted brand reputation, Wide color selection",Yes,
2025-03-18 17:03:51,Eesha Purohit,urishilladhillon@example.org,Bengaluru,"Berger Paints, Nippon Paints","Nippon Paints, Berger Paints",,4.0,,3.0,"Durability, Availability, Brand Reputation",Berger Paints,"Eco-friendly options, Good quality (4 rating), Good customer service",Yes,
2025-02-21 06:27:49,Simon Bera,darsh09@example.com,Bengaluru,"Nippon Paints, Asian Paints",None,2.0,,,2.0,"Availability, Durability, Customer Support, Eco-friendliness",,,,
2025-03-22 16:26:52,Ronith Parmer,upadhriticontractor@example.com,Bengaluru,"Birla Paints, Asian Paints, Berger Paints, Other: Kansai Nerolac","Asian Paints, Berger Paints, Birla Paints",4.0,5.0,2.0,,"Customer Support, Price, Brand Reputation, Durability",Berger Paints,"Wide color selection, Good customer service, Long-lasting durability",Yes,
2025-03-11 07:38:17,Chameli Shere,chandcharvi@example.com,Bengaluru,"Birla Paints, Asian Paints, Other: Dulux",Asian Paints,4.0,,1.0,,"Eco-friendliness, Customer Support, Brand Reputation, Availability",Asian Paints,"Good customer service, Wide color selection",Yes,
2025-03-14 10:38:39,Zansi Kata,dyaldaksha@example.com,Bengaluru,"Asian Paints, Nippon Paints, Berger Paints, Birla Paints","Berger Paints, Birla Paints",2.0,4.0,4.0,2.0,"Brand Reputation, Durability, Price, Eco-friendliness",Berger Paints,"Value for money, Trusted brand reputation",Yes,"Nothing, satisfied with current products (specifically for Nippon Paints)"
2025-03-23 18:41:18,Zayan Khalsa,ncheema@example.net,Bengaluru,"Asian Paints, Nippon Paints, Berger Paints",None,2.0,3.0,,2.0,"Availability, Customer Support, Eco-friendliness",,,,
2025-04-21 08:33:54,Zayyan Mander,daksha03@example.net,Bengaluru,"Asian Paints, Berger Paints, Nippon Paints, Birla Paints",Birla Paints,3.0,3.0,3.0,4.0,"Customer Support, Color Variety, Price",Birla Paints,Good quality (3 rating),Maybe,More durable finishes for monsoon season
2025-03-27 00:49:44,Madhav Kapadia,parikhaarnav@example.com,Bengaluru,"Berger Paints, Nippon Paints, Birla Paints, Asian Paints","Berger Paints, Birla Paints, Nippon Paints",3.0,2.0,4.0,3.0,"Color Variety, Price, Availability",Birla Paints,"Value for money, Eco-friendly options",Yes,
2025-02-19 04:18:29,Garima Kar,datedakshesh@example.net,Bengaluru,"Berger Paints, Nippon Paints, Asian Paints, Birla Paints","Birla Paints, Berger Paints, Asian Paints",4.0,3.0,3.0,3.0,"Availability, Durability, Color Variety, Brand Reputation",Asian Paints,"Wide color selection, Eco-friendly options, Easy availability in Bengaluru",Yes,
2025-02-25 04:43:42,Urmi Kunda,shereekanta@example.net,Bengaluru,"Asian Paints, Berger Paints, Birla Paints, Other: Jotun","Asian Paints, Birla Paints",4.0,2.0,3.0,,"Brand Reputation, Price, Color Variety",Asian Paints,"Good quality (4 rating), Eco-friendly options, Long-lasting durability",Yes,
2025-04-04 21:03:16,Jackson Johal,sghosh@example.net,Bengaluru,"Berger Paints, Birla Paints, Nippon Paints, Asian Paints, Other: Indigo Paints",Asian Paints,3.0,2.0,4.0,3.0,"Durability, Color Variety, Brand Reputation",Asian Paints,"Trusted brand reputation, Wide color selection, Value for money",Maybe,More durable finishes for monsoon season
2025-03-02 07:20:46,Dhriti Ramesh,om45@example.org,Bengaluru,"Birla Paints, Nippon Paints","Nippon Paints, Birla Paints",,,2.0,4.0,"Availability, Durability, Brand Reputation, Customer Support, Color Variety",Nippon Paints,"Good quality (4 rating), Eco-friendly options",Yes,
2025-03-16 05:31:06,Caleb Narang,savantamaira@example.com,Bengaluru,"Asian Paints, Birla Paints, Nippon Paints","Birla Paints, Asian Paints",5.0,,4.0,1.0,"Price, Brand Reputation, Durability, Color Variety",Birla Paints,Easy availability in Bengaluru,Yes,
2025-02-15 11:36:45,Nathaniel Gera,talwaramara@example.com,Bengaluru,"Nippon Paints, Asian Paints",None,2.0,,,4.0,"Customer Support, Eco-friendliness, Color Variety",,,,
2025-03-05 05:42:44,Omkaar Merchant,libni55@example.org,Bengaluru,"Asian Paints, Berger Paints",Berger Paints,2.0,4.0,,,"Availability, Price, Eco-friendliness, Customer Support",Berger Paints,Easy availability in Bengaluru,Yes,Improve customer support in Bengaluru
2025-03-30 21:31:28,Daksh Talwar,chaaya28@example.com,Bengaluru,"Asian Paints, Nippon Paints","Asian Paints, Nippon Paints",4.0,,,3.0,"Availability, Customer Support, Price, Brand Reputation",Asian Paints,"Easy availability in Bengaluru, Good quality (4 rating)",Yes,
2025-03-19 13:48:34,Dakshesh Amble,lakshmi24@example.net,Bengaluru,"Nippon Paints, Asian Paints",None,2.0,,,1.0,"Price, Availability, Eco-friendliness, Customer Support",,,,
2025-03-22 14:52:45,Udarsh Bahl,tmukherjee@example.net,Bengaluru,"Asian Paints, Birla Paints, Berger Paints",Birla Paints,2.0,2.0,3.0,,"Color Variety, Brand Reputation, Price",Birla Paints,"Eco-friendly options, Wide color selection, Good quality (3 rating)",Maybe,
2025-03-30 17:46:44,Harini Jaggi,jeevikaandra@example.org,Bengaluru,"Berger Paints, Birla Paints, Nippon Paints",Berger Paints,,5.0,1.0,2.0,"Eco-friendliness, Durability, Price",Berger Paints,Good customer service,Yes,
2025-02-09 00:30:26,Raghav Thakur,yugdesai@example.net,Bengaluru,"Birla Paints, Nippon Paints, Berger Paints","Birla Paints, Berger Paints",,4.0,5.0,1.0,"Color Variety, Price, Customer Support, Availability",Birla Paints,"Easy availability in Bengaluru, Good customer service",Yes,
2025-03-25 21:53:46,Karan Kohli,laksh44@example.org,Bengaluru,"Birla Paints, Asian Paints, Berger Paints","Asian Paints, Birla Paints, Berger Paints",4.0,4.0,3.0,,"Durability, Availability, Brand Reputation",Asian Paints,"Wide color selection, Good quality (4 rating)",Yes,
2025-03-30 21:56:57,Vivaan Chada,amaira06@example.com,Bengaluru,"Birla Paints, Berger Paints, Nippon Paints, Other: Shalimar Paints",Nippon Paints,,3.0,3.0,3.0,"Availability, Durability, Color Variety, Price",Nippon Paints,"Easy availability in Bengaluru, Long-lasting durability, Value for money",Maybe,
2025-03-04 03:39:27,Nitesh Choudhry,bramachandran@example.com,Bengaluru,"Berger Paints, Asian Paints, Birla Paints, Nippon Paints, Other: Dulux","Birla Paints, Asian Paints, Nippon Paints",4.0,2.0,4.0,4.0,"Price, Availability, Brand Reputation, Durability, Eco-friendliness",Asian Paints,Long-lasting durability,Yes,
